Region Name,Sub-region Name,Intermediate Region Name,Country or Area
Africa,Northern Africa,,Algeria
Africa,Northern Africa,,Egypt
Africa,Northern Africa,,Libya
Africa,Northern Africa,,Morocco
Africa,Northern Africa,,Sudan
Africa,Northern Africa,,Tunisia
Africa,Northern Africa,,Western Sahara
Africa,Sub-Saharan Africa,Eastern Africa,British Indian Ocean Territory
Africa,Sub-Saharan Africa,Eastern Africa,Burundi
Africa,Sub-Saharan Africa,Eastern Africa,Comoros
Africa,Sub-Saharan Africa,Eastern Africa,Djibouti
Africa,Sub-Saharan Africa,Eastern Africa,Eritrea
Africa,Sub-Saharan Africa,Eastern Africa,Ethiopia
Africa,Sub-Saharan Africa,Eastern Africa,French Southern Territories
Africa,Sub-Saharan Africa,Eastern Africa,Kenya
Africa,Sub-Saharan Africa,Eastern Africa,Madagascar
Africa,Sub-Saharan Africa,Eastern Africa,Malawi
Africa,Sub-Saharan Africa,Eastern Africa,Mauritius
Africa,Sub-Saharan Africa,Eastern Africa,Mayotte
Africa,Sub-Saharan Africa,Eastern Africa,Mozambique
Africa,Sub-Saharan Africa,Eastern Africa,Réunion
Africa,Sub-Saharan Africa,Eastern Africa,Rwanda
Africa,Sub-Saharan Africa,Eastern Africa,Seychelles
Africa,Sub-Saharan Africa,Eastern Africa,Somalia
Africa,Sub-Saharan Africa,Eastern Africa,South Sudan
Africa,Sub-Saharan Africa,Eastern Africa,Uganda
Africa,Sub-Saharan Africa,Eastern Africa,United Republic of Tanzania
Africa,Sub-Saharan Africa,Eastern Africa,Zambia
Africa,Sub-Saharan Africa,Eastern Africa,Zimbabwe
Africa,Sub-Saharan Africa,Middle Africa,Angola
Africa,Sub-Saharan Africa,Middle Africa,Cameroon
Africa,Sub-Saharan Africa,Middle Africa,Central African Republic
Africa,Sub-Saharan Africa,Middle Africa,Chad
Africa,Sub-Saharan Africa,Middle Africa,Congo
Africa,Sub-Saharan Africa,Middle Africa,Democratic Republic of the Congo
Africa,Sub-Saharan Africa,Middle Africa,Equatorial Guinea
Africa,Sub-Saharan Africa,Middle Africa,Gabon
Africa,Sub-Saharan Africa,Middle Africa,Sao Tome and Principe
Africa,Sub-Saharan Africa,Southern Africa,Botswana
Africa,Sub-Saharan Africa,Southern Africa,Eswatini
Africa,Sub-Saharan Africa,Southern Africa,Lesotho
Africa,Sub-Saharan Africa,Southern Africa,Namibia
Africa,Sub-Saharan Africa,Southern Africa,South Africa
Africa,Sub-Saharan Africa,Western Africa,Benin
Africa,Sub-Saharan Africa,Western Africa,Burkina Faso
Africa,Sub-Saharan Africa,Western Africa,Cabo Verde
Africa,Sub-Saharan Africa,Western Africa,Côte d’Ivoire
Africa,Sub-Saharan Africa,Western Africa,Gambia
Africa,Sub-Saharan Africa,Western Africa,Ghana
Africa,Sub-Saharan Africa,Western Africa,Guinea
Africa,Sub-Saharan Africa,Western Africa,Guinea-Bissau
Africa,Sub-Saharan Africa,Western Africa,Liberia
Africa,Sub-Saharan Africa,Western Africa,Mali
Africa,Sub-Saharan Africa,Western Africa,Mauritania
Africa,Sub-Saharan Africa,Western Africa,Niger
Africa,Sub-Saharan Africa,Western Africa,Nigeria
Africa,Sub-Saharan Africa,Western Africa,Saint Helena
Africa,Sub-Saharan Africa,Western Africa,Senegal
Africa,Sub-Saharan Africa,Western Africa,Sierra Leone
Africa,Sub-Saharan Africa,Western Africa,Togo
Americas,Latin America and the Caribbean,Caribbean,Anguilla
Americas,Latin America and the Caribbean,Caribbean,Antigua and Barbuda
Americas,Latin America and the Caribbean,Caribbean,Aruba
Americas,Latin America and the Caribbean,Caribbean,Bahamas
Americas,Latin America and the Caribbean,Caribbean,Barbados
Americas,Latin America and the Caribbean,Caribbean,Bonaire
Americas,Latin America and the Caribbean,Caribbean,British Virgin Islands
Americas,Latin America and the Caribbean,Caribbean,Cayman Islands
Americas,Latin America and the Caribbean,Caribbean,Cuba
Americas,Latin America and the Caribbean,Caribbean,Curaçao
Americas,Latin America and the Caribbean,Caribbean,Dominica
Americas,Latin America and the Caribbean,Caribbean,Dominican Republic
Americas,Latin America and the Caribbean,Caribbean,Grenada
Americas,Latin America and the Caribbean,Caribbean,Guadeloupe
Americas,Latin America and the Caribbean,Caribbean,Haiti
Americas,Latin America and the Caribbean,Caribbean,Jamaica
Americas,Latin America and the Caribbean,Caribbean,Martinique
Americas,Latin America and the Caribbean,Caribbean,Montserrat
Americas,Latin America and the Caribbean,Caribbean,Puerto Rico
Americas,Latin America and the Caribbean,Caribbean,Saint Barthélemy
Americas,Latin America and the Caribbean,Caribbean,Saint Kitts and Nevis
Americas,Latin America and the Caribbean,Caribbean,Saint Lucia
Americas,Latin America and the Caribbean,Caribbean,Saint Martin (French Part)
Americas,Latin America and the Caribbean,Caribbean,Saint Vincent and the Grenadines
Americas,Latin America and the Caribbean,Caribbean,Sint Maarten (Dutch part)
Americas,Latin America and the Caribbean,Caribbean,Trinidad and Tobago
Americas,Latin America and the Caribbean,Caribbean,Turks and Caicos Islands
Americas,Latin America and the Caribbean,Caribbean,United States Virgin Islands
Americas,Latin America and the Caribbean,Central America,Belize
Americas,Latin America and the Caribbean,Central America,Costa Rica
Americas,Latin America and the Caribbean,Central America,El Salvador
Americas,Latin America and the Caribbean,Central America,Guatemala
Americas,Latin America and the Caribbean,Central America,Honduras
Americas,Latin America and the Caribbean,Central America,Mexico
Americas,Latin America and the Caribbean,Central America,Nicaragua
Americas,Latin America and the Caribbean,Central America,Panama
Americas,Latin America and the Caribbean,South America,Argentina
Americas,Latin America and the Caribbean,South America,Bolivia (Plurinational State of)
Americas,Latin America and the Caribbean,South America,Bouvet Island
Americas,Latin America and the Caribbean,South America,Brazil
Americas,Latin America and the Caribbean,South America,Chile
Americas,Latin America and the Caribbean,South America,Colombia
Americas,Latin America and the Caribbean,South America,Ecuador
Americas,Latin America and the Caribbean,South America,Falkland Islands (Malvinas)
Americas,Latin America and the Caribbean,South America,French Guiana
Americas,Latin America and the Caribbean,South America,Guyana
Americas,Latin America and the Caribbean,South America,Paraguay
Americas,Latin America and the Caribbean,South America,Peru
Americas,Latin America and the Caribbean,South America,South Georgia and the South Sandwich Islands
Americas,Latin America and the Caribbean,South America,Suriname
Americas,Latin America and the Caribbean,South America,Uruguay
Americas,Latin America and the Caribbean,South America,Venezuela (Bolivarian Republic of)
Americas,Northern America,,Bermuda
Americas,Northern America,,Canada
Americas,Northern America,,Greenland
Americas,Northern America,,Saint Pierre and Miquelon
Americas,Northern America,,United States
,,,Antarctica
Asia,Central Asia,,Kazakhstan
Asia,Central Asia,,Kyrgyzstan
Asia,Central Asia,,Tajikistan
Asia,Central Asia,,Turkmenistan
Asia,Central Asia,,Uzbekistan
Asia,Eastern Asia,,China
Asia,Eastern Asia,,China
Asia,Eastern Asia,,China
Asia,Eastern Asia,,Democratic People's Republic of Korea
Asia,Eastern Asia,,Japan
Asia,Eastern Asia,,Mongolia
Asia,Eastern Asia,,South Korea
Asia,Eastern Asia,,North Korea
Asia,South-eastern Asia,,Brunei Darussalam
Asia,South-eastern Asia,,Cambodia
Asia,South-eastern Asia,,Indonesia
Asia,South-eastern Asia,,Lao People's Democratic Republic
Asia,South-eastern Asia,,Malaysia
Asia,South-eastern Asia,,Myanmar
Asia,South-eastern Asia,,Philippines
Asia,South-eastern Asia,,Singapore
Asia,South-eastern Asia,,Thailand
Asia,South-eastern Asia,,Timor-Leste
Asia,South-eastern Asia,,Viet Nam
Asia,Southern Asia,,Afghanistan
Asia,Southern Asia,,Bangladesh
Asia,Southern Asia,,Bhutan
Asia,Southern Asia,,India
Asia,Southern Asia,,Iran (Islamic Republic of)
Asia,Southern Asia,,Maldives
Asia,Southern Asia,,Nepal
Asia,Southern Asia,,Pakistan
Asia,Southern Asia,,Sri Lanka
Asia,Western Asia,,Armenia
Asia,Western Asia,,Azerbaijan
Asia,Western Asia,,Bahrain
Asia,Western Asia,,Cyprus
Asia,Western Asia,,Georgia
Asia,Western Asia,,Iraq
Asia,Western Asia,,Israel
Asia,Western Asia,,Jordan
Asia,Western Asia,,Kuwait
Asia,Western Asia,,Lebanon
Asia,Western Asia,,Oman
Asia,Western Asia,,Qatar
Asia,Western Asia,,Saudi Arabia
Asia,Western Asia,,State of Palestine
Asia,Western Asia,,Syrian Arab Republic
Asia,Western Asia,,Türkiye
Asia,Western Asia,,United Arab Emirates
Asia,Western Asia,,Yemen
Europe,Eastern Europe,,Belarus
Europe,Eastern Europe,,Bulgaria
Europe,Eastern Europe,,Czechia
Europe,Eastern Europe,,Hungary
Europe,Eastern Europe,,Poland
Europe,Eastern Europe,,Republic of Moldova
Europe,Eastern Europe,,Romania
Europe,Eastern Europe,,Russian Federation
Europe,Eastern Europe,,Slovakia
Europe,Eastern Europe,,Ukraine
Europe,Northern Europe,,Åland Islands
Europe,Northern Europe,Channel Islands,Guernsey
Europe,Northern Europe,Channel Islands,Jersey
Europe,Northern Europe,Channel Islands,Sark
Europe,Northern Europe,,Denmark
Europe,Northern Europe,,Estonia
Europe,Northern Europe,,Faroe Islands
Europe,Northern Europe,,Finland
Europe,Northern Europe,,Iceland
Europe,Northern Europe,,Ireland
Europe,Northern Europe,,Isle of Man
Europe,Northern Europe,,Latvia
Europe,Northern Europe,,Lithuania
Europe,Northern Europe,,Norway
Europe,Northern Europe,,Svalbard and Jan Mayen Islands
Europe,Northern Europe,,Sweden
Europe,Northern Europe,,United Kingdom of Great Britain and Northern Ireland
Europe,Southern Europe,,Albania
Europe,Southern Europe,,Andorra
Europe,Southern Europe,,Bosnia and Herzegovina
Europe,Southern Europe,,Croatia
Europe,Southern Europe,,Gibraltar
Europe,Southern Europe,,Greece
Europe,Southern Europe,,Holy See
Europe,Southern Europe,,Italy
Europe,Southern Europe,,Malta
Europe,Southern Europe,,Montenegro
Europe,Southern Europe,,North Macedonia
Europe,Southern Europe,,Portugal
Europe,Southern Europe,,San Marino
Europe,Southern Europe,,Serbia
Europe,Southern Europe,,Slovenia
Europe,Southern Europe,,Spain
Europe,Western Europe,,Austria
Europe,Western Europe,,Belgium
Europe,Western Europe,,France
Europe,Western Europe,,Germany
Europe,Western Europe,,Liechtenstein
Europe,Western Europe,,Luxembourg
Europe,Western Europe,,Monaco
Europe,Western Europe,,Netherlands
Europe,Western Europe,,Switzerland
Oceania,Australia and New Zealand,,Australia
Oceania,Australia and New Zealand,,Christmas Island
Oceania,Australia and New Zealand,,Cocos (Keeling) Islands
Oceania,Australia and New Zealand,,Heard Island and McDonald Islands
Oceania,Australia and New Zealand,,New Zealand
Oceania,Australia and New Zealand,,Norfolk Island
Oceania,Melanesia,,Fiji
Oceania,Melanesia,,New Caledonia
Oceania,Melanesia,,Papua New Guinea
Oceania,Melanesia,,Solomon Islands
Oceania,Melanesia,,Vanuatu
Oceania,Micronesia,,Guam
Oceania,Micronesia,,Kiribati
Oceania,Micronesia,,Marshall Islands
Oceania,Micronesia,,Micronesia (Federated States of)
Oceania,Micronesia,,Nauru
Oceania,Micronesia,,Northern Mariana Islands
Oceania,Micronesia,,Palau
Oceania,Micronesia,,United States Minor Outlying Islands
Oceania,Polynesia,,American Samoa
Oceania,Polynesia,,Cook Islands
Oceania,Polynesia,,French Polynesia
Oceania,Polynesia,,Niue
Oceania,Polynesia,,Pitcairn
Oceania,Polynesia,,Samoa
Oceania,Polynesia,,Tokelau
Oceania,Polynesia,,Tonga
Oceania,Polynesia,,Tuvalu
Oceania,Polynesia,,Wallis and Futuna Islands
